config,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
A0,S8,27,0.8538367748260497,13689394.243431091,10668690.501451492,0.7793398533007335,8,True,1.0,A0/S8_seed27.zip
A0,S8,28,0.8832143545150756,14160399.103069305,11035763.35966587,0.7793398533007335,8,True,1.0,A0/S8_seed28.zip
A0,S8,29,0.8783146142959594,14081842.548084259,10974541.105628014,0.7793398533007335,11,True,1.0,A0/S8_seed29.zip
A0,S9,0,0.7680395245552064,1221490.0598526,554831.752538681,0.45422535211267606,2,True,1.0,A0/S9_seed0.zip
A0,S9,1,0.7562748193740846,1202779.472732544,546332.9295158386,0.45422535211267606,2,True,1.0,A0/S9_seed1.zip
A0,S9,2,0.7547897696495057,1200417.6496505737,545260.1295948029,0.45422535211267606,2,True,1.0,A0/S9_seed2.zip
A0,S9,3,0.760146737098694,1208937.3706817627,549130.0028800964,0.45422535211267606,2,True,1.0,A0/S9_seed3.zip
A0,S9,4,0.7316999435424805,1163695.590209961,528580.0392150877,0.4542253521126759,2,True,1.0,A0/S9_seed4.zip
A0,S9,5,0.8195315599441529,1303382.9929351807,592029.598903656,0.45422535211267606,2,True,1.0,A0/S9_seed5.zip
A0,S9,6,0.7611349225044252,1210508.9807510376,549843.8680171967,0.45422535211267606,2,True,1.0,A0/S9_seed6.zip
A0,S9,7,0.7888073921203614,1254519.2764282227,569834.460067749,0.45422535211267606,2,True,1.0,A0/S9_seed7.zip
A0,S9,8,0.7702060341835023,1224935.676765442,556396.839094162,0.45422535211267606,2,True,1.0,A0/S9_seed8.zip
A0,S9,9,0.7193034887313843,1143980.2684783936,519624.8402595518,0.4542253521126759,2,True,1.0,A0/S9_seed9.zip
A0,S9,10,0.6920651197433472,1100660.3664398193,499947.8425025938,0.4542253521126759,2,True,1.0,A0/S9_seed10.zip
A0,S9,11,0.7411243915557861,1178684.2323303223,535388.2604598997,0.4542253521126759,2,True,1.0,A0/S9_seed11.zip
A0,S9,12,0.7515736222267152,1195302.6887893677,542936.784696579,0.45422535211267606,2,True,1.0,A0/S9_seed12.zip
A0,S9,13,0.8103617429733277,1288799.3160247803,585405.3231239319,0.45422535211267606,2,True,1.0,A0/S9_seed13.zip
A0,S9,14,0.7476079463958741,1188995.677947998,540071.9804763794,0.45422535211267606,2,True,1.0,A0/S9_seed14.zip
A0,S9,15,0.7552056312561036,1201079.035949707,545560.5480194092,0.45422535211267606,2,True,1.0,A0/S9_seed15.zip
A0,S9,16,0.7911041378974916,1258172.0209121704,571493.6292171478,0.45422535211267606,2,True,1.0,A0/S9_seed16.zip
A0,S9,17,0.7646985650062562,1216176.5977859497,552418.2433605194,0.45422535211267606,2,True,1.0,A0/S9_seed17.zip
A0,S9,18,0.8009870052337648,1273889.7331237793,578633.0125808716,0.45422535211267606,2,True,1.0,A0/S9_seed18.zip
