bonus_scale,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
0.75,S2,6,0.6821243166923523,-8294.631690979004,385570.77001035213,0.010873258579680595,4,True,1.0,D_BONUS0.75/S2_seed6.zip
0.75,S2,7,0.6487220525741577,-7888.460159301758,366690.14021754265,0.010873258579680595,4,True,1.0,D_BONUS0.75/S2_seed7.zip
0.75,S2,8,0.664715588092804,-8082.941551208496,375730.48616945744,0.010873258579680595,3,True,1.0,D_BONUS0.75/S2_seed8.zip
0.75,S2,9,0.6711853742599487,-8161.614151000977,379387.532800436,0.010873258579680595,2,True,1.0,D_BONUS0.75/S2_seed9.zip
0.75,S3,0,0.6407750248908998,-9739.780378341675,261147.86139428616,0.01900237529691211,2,True,1.0,D_BONUS0.75/S3_seed0.zip
0.75,S3,1,0.6033692359924318,-9171.212387084961,245903.13212871552,0.01900237529691211,2,True,1.0,D_BONUS0.75/S3_seed1.zip
0.75,S3,2,0.6409494876861573,-9742.43221282959,261218.96370649338,0.01900237529691211,2,True,1.0,D_BONUS0.75/S3_seed2.zip
0.75,S3,3,0.586413860321045,-8913.490676879883,238992.96877384186,0.01900237529691211,2,True,1.0,D_BONUS0.75/S3_seed3.zip
0.75,S3,4,0.6303734183311464,-9581.675958633423,256908.68664085865,0.01900237529691211,2,True,1.0,D_BONUS0.75/S3_seed4.zip
0.75,S3,5,0.6288950443267823,-9559.20467376709,256306.1753153801,0.01900237529691211,2,True,1.0,D_BONUS0.75/S3_seed5.zip
0.75,S3,6,0.6398866176605226,-9726.276588439941,260785.79102754593,0.01900237529691211,2,True,1.0,D_BONUS0.75/S3_seed6.zip
0.75,S3,7,0.6107077002525331,-9282.757043838501,248893.9232379198,0.01900237529691211,2,True,1.0,D_BONUS0.75/S3_seed7.zip
0.75,S3,8,0.6420149207115174,-9758.626794815063,261653.1809359789,0.01900237529691211,2,True,1.0,D_BONUS0.75/S3_seed8.zip
0.75,S3,9,0.6432073116302491,-9776.751136779785,262139.139854908,0.01900237529691211,2,True,1.0,D_BONUS0.75/S3_seed9.zip
1.0,S1,0,0.6593758463859558,-7516.884648799896,372712.1971696615,0.010186757215619692,2,True,1.0,D_BONUS1/S1_seed0.zip
1.0,S1,1,0.6133599281311035,-6992.30318069458,346701.69937610626,0.010186757215619692,2,True,1.0,D_BONUS1/S1_seed1.zip
1.0,S1,2,0.6488364338874817,-7396.735346317291,366754.794254899,0.010186757215619692,2,True,1.0,D_BONUS1/S1_seed2.zip
1.0,S1,3,0.5920038819313049,-6748.844254016876,334630.1942616701,0.010186757215619692,2,True,1.0,D_BONUS1/S1_seed3.zip
1.0,S1,4,0.6403456926345825,-7299.940896034241,361955.40276169777,0.010186757215619692,3,True,1.0,D_BONUS1/S1_seed4.zip
1.0,S1,5,0.6467587947845459,-7373.050260543823,365580.40875196457,0.010186757215619692,2,True,1.0,D_BONUS1/S1_seed5.zip
1.0,S1,6,0.6794743537902832,-7746.0076332092285,384072.8784799576,0.010186757215619692,3,True,1.0,D_BONUS1/S1_seed6.zip
1.0,S1,7,0.6285334825515747,-7165.281701087952,355278.5510122776,0.010186757215619692,3,True,1.0,D_BONUS1/S1_seed7.zip
1.0,S1,8,0.6470486521720886,-7376.35463476181,365744.2506402731,0.010186757215619692,2,True,1.0,D_BONUS1/S1_seed8.zip
1.0,S1,9,0.6445264220237732,-7347.601211071014,364318.5600489378,0.010186757215619692,2,True,1.0,D_BONUS1/S1_seed9.zip
1.0,S2,0,0.6544421911239624,-7958.017044067383,369923.44853281975,0.010873258579680595,2,True,1.0,D_BONUS1/S2_seed0.zip
1.0,S2,1,0.6058056354522705,-7366.596527099609,342431.6354393959,0.010873258579680595,2,True,1.0,D_BONUS1/S2_seed1.zip
1.0,S2,2,0.639651358127594,-7778.160514831543,361562.9301816225,0.010873258579680595,2,True,1.0,D_BONUS1/S2_seed2.zip
1.0,S2,3,0.585107684135437,-7114.909439086914,330732.11845755577,0.010873258579680595,2,True,1.0,D_BONUS1/S2_seed3.zip
1.0,S2,4,0.6292936205863953,-7652.210426330566,355708.2190364599,0.010873258579680595,3,True,1.0,D_BONUS1/S2_seed4.zip
1.0,S2,5,0.6284133791923523,-7641.506690979004,355210.66258847713,0.010873258579680595,2,True,1.0,D_BONUS1/S2_seed5.zip
1.0,S2,6,0.6576476097106934,-7996.994934082031,371735.3113889694,0.010873258579680595,2,True,1.0,D_BONUS1/S2_seed6.zip
1.0,S2,7,0.6257924437522888,-7609.636116027832,353729.17883098125,0.010873258579680595,4,True,1.0,D_BONUS1/S2_seed7.zip
1.0,S2,8,0.648975670337677,-7891.544151306152,366833.4976583719,0.010873258579680595,2,True,1.0,D_BONUS1/S2_seed8.zip
1.0,S2,9,0.6382588148117065,-7761.227188110352,360775.7950723171,0.010873258579680595,2,True,1.0,D_BONUS1/S2_seed9.zip
1.0,S3,0,0.6175906658172609,-9387.378120422363,251699.07585382462,0.01900237529691211,2,True,1.0,D_BONUS1/S3_seed0.zip
1.0,S3,1,0.5740314126014711,-8725.277471542358,233946.50220572948,0.01900237529691211,2,True,1.0,D_BONUS1/S3_seed1.zip
