config,seed,scenario,convergence_rate,timeout_rate,mean_rounds,welfare_dc,welfare_mfg,shapley_fairness,price_of_anarchy
D,3,S3,1.0,0.0,2.0,-9120.88189125061,244553.645709157,0.01900237529691211,0.6000580192031484
D,3,S4,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,3,S5,1.0,0.0,13.0,1949219.434387207,1519104.3880462646,0.7793398533007335,0.959612131185818
D,3,S6,1.0,0.0,16.0,1559252.7530670166,708252.1307945251,0.45422535211267606,0.9804154635160678
D,3,S7,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,3,S8,1.0,0.0,4.0,7650735.2983825,15214875.17335488,0.5028457487302219,0.8015202880465685
D,3,S9,1.0,0.0,10.0,1302809.4818115234,591769.0956115723,0.45422535211267606,0.8191709519004934
D,3,S_AIR_M,0.1,0.9,19.733333333333334,1326791.1416235894,1344053.0486244448,0.6378921141530581,0.738966318223113
D,4,S1,1.0,0.0,8.0,-6601.180922985077,327308.55409801006,0.010186757215619692,0.5790509581970424
D,4,S2,1.0,0.0,5.0,-6385.934181213379,296846.15920484066,0.010873258579680595,0.525159060991739
D,4,S3,1.0,0.0,8.0,-8113.662242889404,217547.56888747212,0.01900237529691211,0.5337935686484393
D,4,S4,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,4,S5,1.0,0.0,13.0,1675793.5494049068,1306012.698955536,0.7793398533007336,0.8250029683689488
D,4,S6,1.0,0.0,17.0,1329839.4876480103,604046.8095302582,0.45422535211267606,0.8361666799175804
D,4,S7,1.0,0.0,18.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,4,S8,1.0,0.0,2.0,11238224.206331039,8839880.132970542,0.7865904764553994,0.7038083673015215
D,4,S9,1.0,0.0,12.0,1272750.57888031,578115.5798435211,0.45422535211267606,0.8002707362734099
D,4,S_AIR_M,0.36666666666666664,0.6333333333333333,18.433333333333334,1416980.6707471767,1225592.6753843888,0.6689093022752953,0.731144371264887
D,5,S1,1.0,0.0,2.0,-6663.476836681366,330397.39315211773,0.010186757215619692,0.5845155120304321
D,5,S2,1.0,0.0,2.0,-7554.372138977051,351160.26739776134,0.010873258579680595,0.6212477088408598
D,5,S3,1.0,0.0,2.0,-8382.34281539917,224751.56673789024,0.01900237529691211,0.5514699221042643
D,5,S4,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,5,S5,1.0,0.0,14.0,1907644.6293212895,1486703.4855651855,0.7793398533007334,0.9391446114242563
D,5,S6,1.0,0.0,18.0,1510238.9757156372,685988.8305187225,0.45422535211267606,0.9495969415374438
D,5,S7,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,5,S8,1.0,0.0,2.0,11570313.065446507,9750508.953319896,0.8427178156863131,0.747370004706146
D,5,S9,1.0,0.0,15.0,1309125.0242233276,594637.7750873566,0.45422535211267606,0.8231419921496417
D,5,S_AIR_M,0.6333333333333333,0.36666666666666664,17.8,1553999.8942213228,1244485.7163307916,0.7057828743306857,0.7742820100778728
D,6,S1,1.0,0.0,2.0,-6451.502895355225,319887.0185613632,0.010186757215619692,0.5659213066496468
