dc_name,process_name,delta_beta_pct,delta_gamma_pct,delta_delta_pct,beta,gamma,delta,is_match_score
Edge_LC,HighT_130C,-10,-20,-10,0.36,0.32,0.18,0.3281
Edge_LC,LowT_60C,-10,-20,-10,0.36,0.32,0.18,0.4751
Edge_LC,MidT_90C,-10,-20,-10,0.36,0.32,0.18,0.3993
Mid_LC,HighT_130C,-10,-20,-10,0.36,0.32,0.18,0.3281
Mid_LC,LowT_60C,-10,-20,-10,0.36,0.32,0.18,0.4751
Mid_LC,MidT_90C,-10,-20,-10,0.36,0.32,0.18,0.3993
Hyperscale_LC,HighT_130C,-10,-20,-10,0.36,0.32,0.18,0.3277
Hyperscale_LC,LowT_60C,-10,-20,-10,0.36,0.32,0.18,0.4747
Hyperscale_LC,MidT_90C,-10,-20,-10,0.36,0.32,0.18,0.399
Edge_LC,HighT_130C,-10,-20,0,0.36,0.32,0.2,0.3166
Edge_LC,LowT_60C,-10,-20,0,0.36,0.32,0.2,0.4701
Edge_LC,MidT_90C,-10,-20,0,0.36,0.32,0.2,0.3908
Mid_LC,HighT_130C,-10,-20,0,0.36,0.32,0.2,0.3166
Mid_LC,LowT_60C,-10,-20,0,0.36,0.32,0.2,0.4701
Mid_LC,MidT_90C,-10,-20,0,0.36,0.32,0.2,0.3908
Hyperscale_LC,HighT_130C,-10,-20,0,0.36,0.32,0.2,0.3162
Hyperscale_LC,LowT_60C,-10,-20,0,0.36,0.32,0.2,0.4697
Hyperscale_LC,MidT_90C,-10,-20,0,0.36,0.32,0.2,0.3906
Edge_LC,HighT_130C,-10,-20,10,0.36,0.32,0.22,0.3051
Edge_LC,LowT_60C,-10,-20,10,0.36,0.32,0.22,0.4651
Edge_LC,MidT_90C,-10,-20,10,0.36,0.32,0.22,0.3824
Mid_LC,HighT_130C,-10,-20,10,0.36,0.32,0.22,0.3051
Mid_LC,LowT_60C,-10,-20,10,0.36,0.32,0.22,0.4651
Mid_LC,MidT_90C,-10,-20,10,0.36,0.32,0.22,0.3824
Hyperscale_LC,HighT_130C,-10,-20,10,0.36,0.32,0.22,0.3046
Hyperscale_LC,LowT_60C,-10,-20,10,0.36,0.32,0.22,0.4647
Hyperscale_LC,MidT_90C,-10,-20,10,0.36,0.32,0.22,0.3821
Edge_LC,HighT_130C,-10,-20,20,0.36,0.32,0.24,0.2935
Edge_LC,LowT_60C,-10,-20,20,0.36,0.32,0.24,0.4601
Edge_LC,MidT_90C,-10,-20,20,0.36,0.32,0.24,0.3739
Mid_LC,HighT_130C,-10,-20,20,0.36,0.32,0.24,0.2935
Mid_LC,LowT_60C,-10,-20,20,0.36,0.32,0.24,0.4601
Mid_LC,MidT_90C,-10,-20,20,0.36,0.32,0.24,0.3739
Hyperscale_LC,HighT_130C,-10,-20,20,0.36,0.32,0.24,0.2931
Hyperscale_LC,LowT_60C,-10,-20,20,0.36,0.32,0.24,0.4597
Hyperscale_LC,MidT_90C,-10,-20,20,0.36,0.32,0.24,0.3736
Edge_LC,HighT_130C,-10,-10,-20,0.36,0.36,0.16,0.3698
Edge_LC,LowT_60C,-10,-10,-20,0.36,0.36,0.16,0.5103
Edge_LC,MidT_90C,-10,-10,-20,0.36,0.36,0.16,0.4379
Mid_LC,HighT_130C,-10,-10,-20,0.36,0.36,0.16,0.3698
Mid_LC,LowT_60C,-10,-10,-20,0.36,0.36,0.16,0.5103
Mid_LC,MidT_90C,-10,-10,-20,0.36,0.36,0.16,0.4379
Hyperscale_LC,HighT_130C,-10,-10,-20,0.36,0.36,0.16,0.3696
Hyperscale_LC,LowT_60C,-10,-10,-20,0.36,0.36,0.16,0.51
Hyperscale_LC,MidT_90C,-10,-10,-20,0.36,0.36,0.16,0.4378
Edge_LC,HighT_130C,-10,-10,-10,0.36,0.36,0.18,0.3583
Edge_LC,LowT_60C,-10,-10,-10,0.36,0.36,0.18,0.5053
Edge_LC,MidT_90C,-10,-10,-10,0.36,0.36,0.18,0.4294
Mid_LC,HighT_130C,-10,-10,-10,0.36,0.36,0.18,0.3583
Mid_LC,LowT_60C,-10,-10,-10,0.36,0.36,0.18,0.5053
Mid_LC,MidT_90C,-10,-10,-10,0.36,0.36,0.18,0.4294
Hyperscale_LC,HighT_130C,-10,-10,-10,0.36,0.36,0.18,0.358
Hyperscale_LC,LowT_60C,-10,-10,-10,0.36,0.36,0.18,0.505
Hyperscale_LC,MidT_90C,-10,-10,-10,0.36,0.36,0.18,0.4294
Edge_LC,HighT_130C,-10,-10,0,0.36,0.36,0.2,0.3467
Edge_LC,LowT_60C,-10,-10,0,0.36,0.36,0.2,0.5003
Edge_LC,MidT_90C,-10,-10,0,0.36,0.36,0.2,0.421
Mid_LC,HighT_130C,-10,-10,0,0.36,0.36,0.2,0.3467
Mid_LC,LowT_60C,-10,-10,0,0.36,0.36,0.2,0.5003
Mid_LC,MidT_90C,-10,-10,0,0.36,0.36,0.2,0.421
Hyperscale_LC,HighT_130C,-10,-10,0,0.36,0.36,0.2,0.3465
Hyperscale_LC,LowT_60C,-10,-10,0,0.36,0.36,0.2,0.5
Hyperscale_LC,MidT_90C,-10,-10,0,0.36,0.36,0.2,0.4209
Edge_LC,HighT_130C,-10,-10,10,0.36,0.36,0.22,0.3352
Edge_LC,LowT_60C,-10,-10,10,0.36,0.36,0.22,0.4953
Edge_LC,MidT_90C,-10,-10,10,0.36,0.36,0.22,0.4125
Mid_LC,HighT_130C,-10,-10,10,0.36,0.36,0.22,0.3352
Mid_LC,LowT_60C,-10,-10,10,0.36,0.36,0.22,0.4953
Mid_LC,MidT_90C,-10,-10,10,0.36,0.36,0.22,0.4125
Hyperscale_LC,HighT_130C,-10,-10,10,0.36,0.36,0.22,0.335
Hyperscale_LC,LowT_60C,-10,-10,10,0.36,0.36,0.22,0.495
Hyperscale_LC,MidT_90C,-10,-10,10,0.36,0.36,0.22,0.4124
Edge_LC,HighT_130C,-10,-10,20,0.36,0.36,0.24,0.3237
Edge_LC,LowT_60C,-10,-10,20,0.36,0.36,0.24,0.4903
Edge_LC,MidT_90C,-10,-10,20,0.36,0.36,0.24,0.404
Mid_LC,HighT_130C,-10,-10,20,0.36,0.36,0.24,0.3237
Mid_LC,LowT_60C,-10,-10,20,0.36,0.36,0.24,0.4903
Mid_LC,MidT_90C,-10,-10,20,0.36,0.36,0.24,0.404
Hyperscale_LC,HighT_130C,-10,-10,20,0.36,0.36,0.24,0.3234
Hyperscale_LC,LowT_60C,-10,-10,20,0.36,0.36,0.24,0.49
Hyperscale_LC,MidT_90C,-10,-10,20,0.36,0.36,0.24,0.404
Edge_LC,HighT_130C,-10,0,-20,0.36,0.4,0.16,0.3999
Edge_LC,LowT_60C,-10,0,-20,0.36,0.4,0.16,0.5404
Edge_LC,MidT_90C,-10,0,-20,0.36,0.4,0.16,0.468
Mid_LC,HighT_130C,-10,0,-20,0.36,0.4,0.16,0.3999
Mid_LC,LowT_60C,-10,0,-20,0.36,0.4,0.16,0.5404
Mid_LC,MidT_90C,-10,0,-20,0.36,0.4,0.16,0.468
Hyperscale_LC,HighT_130C,-10,0,-20,0.36,0.4,0.16,0.3999
Hyperscale_LC,LowT_60C,-10,0,-20,0.36,0.4,0.16,0.5404
Hyperscale_LC,MidT_90C,-10,0,-20,0.36,0.4,0.16,0.4682
Edge_LC,HighT_130C,-10,0,-10,0.36,0.4,0.18,0.3884
Edge_LC,LowT_60C,-10,0,-10,0.36,0.4,0.18,0.5354
Edge_LC,MidT_90C,-10,0,-10,0.36,0.4,0.18,0.4595
Mid_LC,HighT_130C,-10,0,-10,0.36,0.4,0.18,0.3884
Mid_LC,LowT_60C,-10,0,-10,0.36,0.4,0.18,0.5354
Mid_LC,MidT_90C,-10,0,-10,0.36,0.4,0.18,0.4595
Hyperscale_LC,HighT_130C,-10,0,-10,0.36,0.4,0.18,0.3884
Hyperscale_LC,LowT_60C,-10,0,-10,0.36,0.4,0.18,0.5354
Hyperscale_LC,MidT_90C,-10,0,-10,0.36,0.4,0.18,0.4597
Edge_LC,HighT_130C,-10,0,0,0.36,0.4,0.2,0.3768
Edge_LC,LowT_60C,-10,0,0,0.36,0.4,0.2,0.5304
Edge_LC,MidT_90C,-10,0,0,0.36,0.4,0.2,0.4511
Mid_LC,HighT_130C,-10,0,0,0.36,0.4,0.2,0.3768
Mid_LC,LowT_60C,-10,0,0,0.36,0.4,0.2,0.5304
Mid_LC,MidT_90C,-10,0,0,0.36,0.4,0.2,0.4511
Hyperscale_LC,HighT_130C,-10,0,0,0.36,0.4,0.2,0.3768
Hyperscale_LC,LowT_60C,-10,0,0,0.36,0.4,0.2,0.5304
Hyperscale_LC,MidT_90C,-10,0,0,0.36,0.4,0.2,0.4512
Edge_LC,HighT_130C,-10,0,10,0.36,0.4,0.22,0.3653
Edge_LC,LowT_60C,-10,0,10,0.36,0.4,0.22,0.5254
